session_id,trial_index,clip_id,rows,rest_rows,listen_rows,missing_elapsed,missing_eda,nonpositive_elapsed_steps,median_elapsed_step_ms,approximate_rate_hz,median_abs_eda_diff,jump_fraction_ge_0.02,audit_status
self_20260601_112658,1,clip_240,2438,981,1457,0,0,0,21.0,47.62,0.004000,0.037341,questionable_noise_or_transient
self_20260601_112658,2,clip_239,2436,979,1457,0,0,0,21.0,47.62,0.004800,0.050924,questionable_noise_or_transient
self_20260601_112658,3,clip_238,2437,980,1457,0,0,0,21.0,47.62,0.004000,0.047619,questionable_noise_or_transient
self_20260601_112658,4,clip_237,2446,981,1465,0,0,0,21.0,47.62,0.004000,0.032720,questionable_noise_or_transient
self_20260601_112658,5,clip_236,2438,981,1457,0,0,0,21.0,47.62,0.004000,0.041444,questionable_noise_or_transient
self_20260601_112658,6,clip_235,2437,981,1456,0,0,0,21.0,47.62,0.004000,0.028325,questionable_noise_or_transient
self_20260601_112658,7,clip_234,2446,985,1461,0,0,0,21.0,47.62,0.003300,0.024949,questionable_noise_or_transient
self_20260601_112658,8,clip_233,2453,993,1460,0,0,0,21.0,47.62,0.004000,0.039152,questionable_noise_or_transient
self_20260601_112658,9,clip_232,2445,985,1460,0,0,0,21.0,47.62,0.004000,0.037643,questionable_noise_or_transient
self_20260601_112658,10,clip_231,2455,986,1469,0,0,0,21.0,47.62,0.004100,0.033415,questionable_noise_or_transient
self_20260601_112658,11,clip_230,2445,984,1461,0,0,0,21.0,47.62,0.004000,0.036416,questionable_noise_or_transient
self_20260601_112658,12,clip_229,2445,984,1461,0,0,0,21.0,47.62,0.004100,0.042962,questionable_noise_or_transient
self_20260601_112658,13,clip_228,2445,984,1461,0,0,0,21.0,47.62,0.004000,0.046236,questionable_noise_or_transient
self_20260601_112658,14,clip_227,2452,990,1462,0,0,0,21.0,47.62,0.004000,0.038352,questionable_noise_or_transient
self_20260601_112658,15,clip_226,2446,985,1461,0,0,0,21.0,47.62,0.004100,0.043763,questionable_noise_or_transient
self_20260601_112658,16,clip_225,2445,985,1460,0,0,0,21.0,47.62,0.004000,0.039689,questionable_noise_or_transient
self_20260601_112658,17,clip_224,2452,985,1467,0,0,0,21.0,47.62,0.004100,0.041616,questionable_noise_or_transient
self_20260601_112658,18,clip_223,2446,985,1461,0,0,0,21.0,47.62,0.004100,0.043763,questionable_noise_or_transient
self_20260601_112658,19,clip_222,2446,985,1461,0,0,0,21.0,47.62,0.004800,0.052352,questionable_noise_or_transient
self_20260601_112658,20,clip_221,2452,984,1468,0,0,0,21.0,47.62,0.003300,0.049368,questionable_noise_or_transient
self_20260601_112658,21,clip_220,2445,985,1460,0,0,0,21.0,47.62,0.002500,0.045008,questionable_noise_or_transient
self_20260601_112658,22,clip_219,2444,984,1460,0,0,0,21.0,47.62,0.004100,0.046664,questionable_noise_or_transient
self_20260601_112658,23,clip_218,2454,985,1469,0,0,0,21.0,47.62,0.004000,0.047289,questionable_noise_or_transient
self_20260601_112658,24,clip_217,2446,985,1461,0,0,0,21.0,47.62,0.004800,0.056851,questionable_noise_or_transient
self_20260601_112658,25,clip_216,2445,984,1461,0,0,0,21.0,47.62,0.004800,0.056874,questionable_noise_or_transient
self_20260601_112658,26,clip_215,2450,984,1466,0,0,0,21.0,47.62,0.004000,0.057575,questionable_noise_or_transient
self_20260601_112658,27,clip_214,2446,985,1461,0,0,0,21.0,47.62,0.004000,0.043354,questionable_noise_or_transient
self_20260601_112658,28,clip_213,2445,984,1461,0,0,0,21.0,47.62,0.004000,0.032733,questionable_noise_or_transient
self_20260601_112658,29,clip_212,2445,985,1460,0,0,0,21.0,47.62,0.004000,0.038462,questionable_noise_or_transient
self_20260601_112658,30,clip_211,2446,985,1461,0,0,0,21.0,47.62,0.004100,0.061350,questionable_noise_or_transient
self_20260601_112658,31,clip_210,2444,984,1460,0,0,0,21.0,47.62,0.004000,0.044208,questionable_noise_or_transient
self_20260601_112658,32,clip_209,2446,985,1461,0,0,0,21.0,47.62,0.004000,0.046217,questionable_noise_or_transient
self_20260601_112658,33,clip_208,2447,986,1461,0,0,0,21.0,47.62,0.004000,0.045789,questionable_noise_or_transient
self_20260601_112658,34,clip_207,2446,985,1461,0,0,0,21.0,47.62,0.004000,0.036810,questionable_noise_or_transient
self_20260601_112658,35,clip_206,2445,984,1461,0,0,0,21.0,47.62,0.004000,0.043781,questionable_noise_or_transient
self_20260601_112658,36,clip_205,2452,990,1462,0,0,0,21.0,47.62,0.004000,0.050184,questionable_noise_or_transient
self_20260601_112658,37,clip_204,2445,984,1461,0,0,0,21.0,47.62,0.004000,0.062193,questionable_noise_or_transient
self_20260601_112658,38,clip_203,2454,985,1469,0,0,0,21.0,47.62,0.003300,0.041989,questionable_noise_or_transient
self_20260601_112658,39,clip_202,2444,984,1460,0,0,0,21.0,47.62,0.004000,0.042980,questionable_noise_or_transient
self_20260601_112658,40,clip_201,2446,985,1461,0,0,0,21.0,47.62,0.003300,0.050716,questionable_noise_or_transient
