clip_id,track_name,artist,album,genre,preview_url,track_id,intended_arousal,intended_valence,intended_mood,song_query,artist_query,selection_method,match_score
clip_152,Idle Moments,Grant Green,Idle Moments,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/7a/92/b4/7a92b4bd-0da1-0128-6a91-04e993e8c300/mzaf_16974025478810872117.plus.aac.p.m4a,1443768988,low,positive,relaxed,Idle Moments,Grant Green,best_score,102.0
clip_154,Peace Piece,Bill Evans,Everybody Digs Bill Evans (Keepnews Collection),Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/c7/c0/fd/c7c0fdba-8dfb-73aa-d8b7-9ff2bdea9254/mzaf_4834298594644162342.plus.aac.p.m4a,1440926603,low,positive,relaxed,Peace Piece,Bill Evans,best_score,102.0
clip_158,Moanin',Charles Mingus,Blues & Roots (Bonus Track Version),Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/e9/0e/b0/e90eb00a-d9a0-8e40-7a06-84c610fd9aa2/mzaf_5055124392757281959.plus.aac.p.m4a,213005327,medium,negative,tense,Moanin',Charles Mingus,best_score,102.0
clip_159,Footprints,Wayne Shorter,Adam's Apple,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/68/ab/c3/68abc3ff-65af-2785-e173-bb66b465eef3/mzaf_8044807894290668594.plus.aac.p.m4a,1443300509,medium,negative,tense,Footprints,Wayne Shorter,best_score,102.0
clip_161,Pavane pour une infante défunte (Arr. Linos Piano Trio),Linos Piano Trio,Ravel: In Search of Lost Dance,Classical,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/cb/08/7d/cb087d0b-ad9c-2651-d12a-daf05e326ee1/mzaf_7709635850498123522.plus.aac.p.m4a,1675148375,low,negative,sad,Pavane pour une infante defunte,Maurice Ravel,best_score,32.0
clip_168,"Sicilienne, Op. 78",Yo-Yo Ma & Kathryn Stott,Merci,Classical,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/be/6d/57/be6d57b6-4968-d6a4-81d7-ead0b917fefc/mzaf_15232409822569512815.plus.aac.p.m4a,1766801454,low,positive,relaxed,"Sicilienne, Op. 78",Gabriel Faure,best_score,72.0
clip_170,"Symphony No. 7 in A Major, Op. 92: II. Allegretto",London Symphony Orchestra & Josef Krips,Beethoven: The Complete Symphony Collection,Classical,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/2d/dd/1d/2ddd1d0e-6e38-88d0-786f-8d427ad40f32/mzaf_15650359682586249842.plus.aac.p.m4a,288462139,medium,negative,tense,"Symphony No. 7 in A Major, Op. 92: II. Allegretto",Ludwig van Beethoven,best_score,72.0
clip_172,Raydar,JID,The Forever Story,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/79/8f/ba/798fba2f-45e3-534a-3595-b80c4b13923a/mzaf_1310724192152983713.plus.aac.p.m4a,1790783325,high,negative,tense,Raydar,JID,best_score,100.0
clip_173,None Shall Pass,Aesop Rock,None Shall Pass (Bonus Edition),Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/98/9e/93/989e9370-7db4-6e9a-74dd-f84b7765c247/mzaf_12127818186791660818.plus.aac.p.m4a,1623690092,high,negative,tense,None Shall Pass,Aesop Rock,best_score,102.0
clip_175,All Caps,Madvillain,Madvillainy Instrumentals,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d3/e1/63/d3e163a7-e256-7267-1bf4-e2b86b8b90a1/mzaf_15689134880400181192.plus.aac.p.m4a,41655325,medium,negative,tense,All Caps,Madvillain,best_score,102.0
clip_176,Norf Norf,Vince Staples,Summertime '06,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/05/2a/60/052a6047-6477-5603-75da-0dee9bda158f/mzaf_6662896450146292246.plus.aac.p.m4a,1442881982,high,negative,tense,Norf Norf,Vince Staples,best_score,100.0
clip_179,DEVASTATED,Joey Bada$$,ALL-AMERIKKKAN BADA$$,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/16/e7/12/16e71244-2f14-4f92-ff78-fb2aa08a30e4/mzaf_17395411500127318618.plus.aac.p.m4a,1504167055,high,negative,tense,DEVASTATED,Joey Bada$$,best_score,100.0
clip_180,Dance Now,JID & Kenny Mason,The Forever Story,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/67/bf/c7/67bfc7c5-e85a-963f-2eae-81b731880794/mzaf_6449064193986064268.plus.aac.p.m4a,1790783327,high,negative,tense,Dance Now,JID,best_score,88.0
