clip_id,track_name,artist,album,genre,preview_url,track_id,intended_arousal,intended_valence,intended_mood,song_query,artist_query,selection_method,match_score
clip_001,Good Days,SZA,SOS,R&B/Soul,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/9b/32/fe/9b32fec3-fbfb-db0f-3dcf-bb089d412f23/mzaf_15200324731067771849.plus.aac.p.m4a,1658650802,medium,positive,relaxed,Good Days,SZA,best_score,100.0
clip_002,Mr. Brightside,The Killers,Direct Hits,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/b3/95/6e/b3956e14-35f0-937e-afb0-72774d3f613f/mzaf_8359343604382181711.plus.aac.p.m4a,1440891171,high,positive,excited,Mr. Brightside,The Killers,best_score,102.0
clip_003,Someone Like You,Adele,21,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ef/18/7b/ef187b7d-f487-e935-4ca1-af5748313710/mzaf_8455263230305249048.plus.aac.p.m4a,1544491998,low,negative,sad,Someone Like You,Adele,best_score,102.0
clip_004,Blinding Lights,The Weeknd,Blinding Lights - Single,R&B/Soul,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/17/b4/8f/17b48f9a-0b93-6bb8-fe1d-3a16623c2cfb/mzaf_9560252727299052414.plus.aac.p.m4a,1488408568,high,positive,excited,Blinding Lights,The Weeknd,best_score,102.0
clip_005,Weightless,Marconi Union,"The Ambient Zone Just Music Cafe, Vol. 4",Electronic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/95/84/05/95840512-b41d-68e4-e7ff-c8987c9bcceb/mzaf_8934420937865408216.plus.aac.p.m4a,571977598,low,positive,relaxed,Weightless,Marconi Union,best_score,102.0
clip_006,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/c3/87/1f/c3871f7e-3260-d615-1c66-5fdca2c3a48f/mzaf_10721331211699880949.plus.aac.p.m4a,1450695739,medium,negative,tense,bad guy,Billie Eilish,best_score,102.0
clip_007,Here Comes the Sun,The Beatles,Abbey Road (Remastered),Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/e7/bf/a0/e7bfa041-6e35-be4e-276e-df489781b5d4/mzaf_1668350712755343495.plus.aac.p.m4a,1441164589,medium,positive,happy,Here Comes The Sun,The Beatles,best_score,102.0
clip_008,Clair de Lune,Claude Debussy,Clair de Lune - Single,Instrumental,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c3/68/35/c36835b6-9cb3-a20a-088b-6c7d39e39636/mzaf_484141242926915999.plus.aac.p.m4a,444967148,low,positive,relaxed,Clair de lune,Claude Debussy,best_score,102.0
clip_009,Lose Yourself,Eminem,8 Mile (Music from and Inspired By the Motion Picture),Soundtrack,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/62/0a/a5/620aa56f-189e-708a-80f0-cebdada3872e/mzaf_7131619873177773332.plus.aac.p.m4a,1440903439,high,positive,excited,Lose Yourself,Eminem,best_score,100.0
clip_010,Mad World,Gary Jules,Mad World - Single,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/6f/7f/a7/6f7fa78d-d8fb-a76f-412c-651134f97202/mzaf_18374472166815870347.plus.aac.p.m4a,1829564210,low,negative,sad,Mad World,Gary Jules,best_score,102.0
