clip_id,track_name,artist,album,genre,preview_url,track_id,intended_arousal,intended_valence,intended_mood,song_query,artist_query,selection_method,match_score
clip_005,Weightless,Marconi Union,"The Ambient Zone Just Music Cafe, Vol. 4",Electronic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/95/84/05/95840512-b41d-68e4-e7ff-c8987c9bcceb/mzaf_8934420937865408216.plus.aac.p.m4a,571977598,low,positive,relaxed,Weightless,Marconi Union,best_score,102.0
clip_003,Someone Like You,Adele,21,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ef/18/7b/ef187b7d-f487-e935-4ca1-af5748313710/mzaf_8455263230305249048.plus.aac.p.m4a,1544491998,low,negative,sad,Someone Like You,Adele,best_score,102.0
clip_002,Mr. Brightside,The Killers,Direct Hits,Rock,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/b3/95/6e/b3956e14-35f0-937e-afb0-72774d3f613f/mzaf_8359343604382181711.plus.aac.p.m4a,1440891171,high,positive,excited,Mr. Brightside,The Killers,best_score,102.0
clip_048,Ride of the Valkyries,Richard Wagner,Classical Lines,Instrumental,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/b1/9c/5a/b19c5a55-58ce-7fd6-478b-9442f264a620/mzaf_299010490123583463.plus.aac.p.m4a,1500977773,high,negative,tense,Ride of the Valkyries,Richard Wagner,best_score,102.0
clip_025,Feeling Good,Nina Simone,I Put a Spell On You,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/d4/c0/0d/d4c00d15-ef31-ad3d-3001-35c09f0d778d/mzaf_6914791605613796270.plus.aac.p.m4a,1445668114,medium,positive,happy,Feeling Good,Nina Simone,best_score,102.0
clip_027,Jolene,Dolly Parton,Jolene,Country,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/43/ef/95/43ef956b-4a1c-8ab1-a843-4ac691dc45d9/mzaf_17631698820105622615.plus.aac.p.m4a,1062400330,medium,negative,tense,Jolene,Dolly Parton,best_score,102.0
clip_052,SICKO MODE,Travis Scott,ASTROWORLD,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/85/49/e2/8549e207-7ecf-21a9-7b2f-b414175c6a74/mzaf_10189975321658500285.plus.aac.p.m4a,1421658123,high,positive,excited,Sicko Mode,Travis Scott,best_score,100.0
clip_053,HUMBLE.,Kendrick Lamar,DAMN.,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/30/3f/27/303f27c8-1997-8c57-66b3-b67e7c720779/mzaf_5598476068977070849.plus.aac.p.m4a,1440882165,high,negative,tense,HUMBLE.,Kendrick Lamar,best_score,100.0
clip_045,Adagio for Strings,"Samuel Barber, Xavier Pardo Sabartés & Jove Simfònica Orpheus",Adagio for Strings - Single,Classical,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/f2/79/d9/f279d9af-c458-efe4-b5ff-962aade7f85b/mzaf_14417391751930089807.plus.aac.p.m4a,1772934479,low,negative,sad,Adagio for Strings,Samuel Barber,best_score,90.0
clip_024,Take Five,Dave Brubeck,Dave Brubeck's Greatest Hits,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/cc/49/99/cc4999b7-b550-cf81-af69-a4c63475fc71/mzaf_10897310118931669841.plus.aac.p.m4a,157427932,medium,positive,relaxed,Take Five,Dave Brubeck,best_score,102.0
clip_080,Shake It Off,Taylor Swift,1989 (Deluxe Edition),Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/11/d5/6d/11d56d4a-ce23-e793-8681-70dc4d35d931/mzaf_5886436202259848624.plus.aac.p.m4a,1440933651,high,positive,happy,Shake It Off,Taylor Swift,best_score,102.0
clip_058,Ms. Jackson (Radio Mix),Outkast,Big Boi & Dre Present... OutKast,Hip-Hop/Rap,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/23/45/55/23455539-43ad-4dd9-fe29-90f7679ce91c/mzaf_13420063406834686541.plus.aac.p.m4a,1536682928,medium,negative,sad,Ms. Jackson,Outkast,best_score,75.0
