clip_id,track_name,artist,album,genre,preview_url,track_id,intended_arousal,intended_valence,intended_mood,song_query,artist_query,selection_method,match_score
clip_200,Killshot,Magdalena Bay,A Little Rhythm and a Wicked Feeling,Indie Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/14/72/be/1472bef9-0d79-391e-75cc-0fad54cb7ef2/mzaf_17513573749968270352.plus.aac.p.m4a,1499440465,medium,negative,tense,Killshot,Magdalena Bay,best_score,102.0
clip_199,XS,Rina Sawayama,SAWAYAMA,Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/78/e5/b9/78e5b90c-b4a0-d62a-0d55-8c47e0b587e0/mzaf_10492078721256628050.plus.aac.p.m4a,1493469443,high,positive,excited,XS,Rina Sawayama,best_score,102.0
clip_198,Silk Chiffon (feat. Phoebe Bridgers),MUNA,MUNA,Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/de/dc/a2/dedca226-5c2c-7767-6d14-a1fc0b133d65/mzaf_3625606279159258339.plus.aac.p.m4a,1611606408,high,positive,happy,Silk Chiffon,MUNA,best_score,77.0
clip_197,Be Sweet,Japanese Breakfast,Jubilee,Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/c0/64/67/c0646729-fcb6-0ad1-b996-fd3408b4f4f4/mzaf_679024772755085459.plus.aac.p.m4a,1553364593,high,positive,happy,Be Sweet,Japanese Breakfast,best_score,102.0
clip_196,Show Me How,Men I Trust,Show Me How - Single,Pop,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/c9/0a/46/c90a464f-379e-8f7a-a212-e22823ac9122/mzaf_8128269148088916110.plus.aac.p.m4a,1719975688,low,positive,relaxed,Show Me How,Men I Trust,best_score,102.0
clip_195,Dreams Tonite,Alvvays,Antisocialites,Alternative,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/26/73/fd/2673fdaa-6bfe-54e3-c0dd-884afb19bce0/mzaf_11273602793506297863.plus.aac.p.m4a,1651326697,medium,positive,relaxed,Dreams Tonite,Alvvays,best_score,102.0
clip_194,Open Eye Signal (Remaster 2023),Jon Hopkins,Immunity,Electronic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/d3/90/9e/d3909e01-1968-f45e-4432-6cfe80cb9b45/mzaf_2577751705709472939.plus.aac.p.m4a,1688995997,high,positive,excited,Open Eye Signal,Jon Hopkins,best_score,77.0
clip_193,Two Thousand and Seventeen,Four Tet,New Energy,Electronic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/11/12/50/111250a0-ca7d-8ab2-461c-f772f8c316ec/mzaf_1936462126950328626.plus.aac.p.m4a,1288518126,medium,positive,relaxed,Two Thousand and Seventeen,Four Tet,best_score,102.0
clip_192,Cirrus,Bonobo,The North Borders,Electronic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/0a/7b/23/0a7b2301-138d-163a-8de8-79c51be47842/mzaf_13157584990167779773.plus.aac.p.m4a,611171963,medium,positive,relaxed,Cirrus,Bonobo,best_score,102.0
clip_191,A Walk,Tycho,Dive,Electronic,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/fc/42/ed/fc42ed54-f3c4-f5a0-f5be-43c9b3fb2215/mzaf_1338879779032740875.plus.aac.p.m4a,679251628,medium,positive,relaxed,A Walk,Tycho,best_score,102.0
