clip_id,track_name,artist,album,genre,preview_url,track_id,intended_arousal,intended_valence,intended_mood,song_query,artist_query,selection_method,match_score
clip_151,Search for Peace,McCoy Tyner,The Real McCoy,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/35/af/1c/35af1c23-8777-abb2-9645-9af7529075af/mzaf_17697857131342273195.plus.aac.p.m4a,721274775,low,positive,relaxed,Search for Peace,McCoy Tyner,best_score,102.0
clip_153,Infant Eyes,Wayne Shorter,Speak No Evil (Rudy Van Gelder Edition),Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/64/bb/fa/64bbfadc-90de-290a-2cd3-7f2a2d0c00b4/mzaf_10520090854835555917.plus.aac.p.m4a,723473860,low,negative,sad,Infant Eyes,Wayne Shorter,best_score,102.0
clip_155,Hat and Beard,Eric Dolphy,Out to Lunch!,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/dc/5f/75/dc5f753a-ce24-f7a1-a045-758b33f3d046/mzaf_15174663253580294155.plus.aac.p.m4a,1455686802,medium,negative,tense,Hat and Beard,Eric Dolphy,best_score,102.0
clip_156,Stolen Moments,Oliver Nelson,The Blues And The Abstract Truth,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/a4/54/2d/a4542d91-50e8-2309-bc99-c01ceb96b7ba/mzaf_7194613831193405435.plus.aac.p.m4a,1571406413,medium,negative,tense,Stolen Moments,Oliver Nelson,best_score,102.0
clip_157,Dolphin Dance,Herbie Hancock,Dedication,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/50/f2/fc/50f2fc4f-d356-b734-6169-25a0ea45391c/mzaf_12927973613987552467.plus.aac.p.m4a,290306685,medium,positive,relaxed,Dolphin Dance,Herbie Hancock,best_score,102.0
clip_160,In a Sentimental Mood,Duke Ellington & John Coltrane,Duke Ellington & John Coltrane,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/ec/10/a3/ec10a360-882f-f524-cd99-c9b47242c511/mzaf_9079424449416004.plus.aac.p.m4a,1440810227,low,positive,relaxed,In a Sentimental Mood,Duke Ellington & John Coltrane,best_score,102.0
clip_162,Spiegel im spiegel,Angèle Dubeau & La Pietà,Pärt: Portrait,Classical,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/64/68/52/6468526e-f789-71fc-c537-6ea4b041f40e/mzaf_10236163795184120551.plus.aac.p.m4a,356926261,low,positive,relaxed,Spiegel im Spiegel,Arvo Part,best_score,72.0
clip_163,"String Quartet No. 8 in C Minor, Op. 110: II. Allegro molto",Emerson String Quartet,Shostakovich: The String Quartets,Classical,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/e5/05/99/e50599f4-c23a-4034-6b05-b8bb52138325/mzaf_15632765322212059069.plus.aac.p.m4a,1452147266,high,negative,tense,"String Quartet No. 8 in C Minor, Op. 110: II. Allegro molto",Dmitri Shostakovich,best_score,72.0
clip_164,Fantasia on a Theme by Thomas Tallis,London Philharmonic Orchestra & Sir Roger Norrington,Sleep: 111 Pieces of Classical Music for Bedtime,Classical,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/c5/8f/d1/c58fd129-e781-7bf7-54be-250b583fa915/mzaf_12487767423588935555.plus.aac.p.m4a,1440839319,low,negative,sad,Fantasia on a Theme by Thomas Tallis,Ralph Vaughan Williams,best_score,72.0
clip_165,Gnossienne No. 3,Kai Schumacher,Beauty In Simplicity,Minimalism,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/fd/73/2c/fd732c0a-b7bf-1cb1-9cc4-408086992270/mzaf_12476698175847777609.plus.aac.p.m4a,1270113647,low,negative,sad,Gnossienne No. 3,Erik Satie,best_score,72.0
