song_query,artist_query,selected_track_id,manual_track_name,manual_artist,manual_album,manual_genre,manual_preview_url,current_selection,best_scored_track_id,best_scored_candidate
Search for Peace,McCoy Tyner,721274775,,,,,,Search for Peace - McCoy Tyner,721274775,Search for Peace - McCoy Tyner
Idle Moments,Grant Green,1443768988,,,,,,Idle Moments - Grant Green,1443768988,Idle Moments - Grant Green
Infant Eyes,Wayne Shorter,723473860,,,,,,Infant Eyes - Wayne Shorter,723473860,Infant Eyes - Wayne Shorter
Peace Piece,Bill Evans,1440926603,,,,,,Peace Piece - Bill Evans,1440926603,Peace Piece - Bill Evans
Hat and Beard,Eric Dolphy,1455686802,,,,,,Hat and Beard - Eric Dolphy,1455686802,Hat and Beard - Eric Dolphy
Stolen Moments,Oliver Nelson,1571406413,,,,,,Stolen Moments - Oliver Nelson,1571406413,Stolen Moments - Oliver Nelson
Dolphin Dance,Herbie Hancock,290306685,,,,,,Dolphin Dance - Herbie Hancock,290306685,Dolphin Dance - Herbie Hancock
Moanin',Charles Mingus,213005327,,,,,,Moanin' - Charles Mingus,213005327,Moanin' - Charles Mingus
Footprints,Wayne Shorter,1443300509,,,,,,Footprints - Wayne Shorter,1443300509,Footprints - Wayne Shorter
In a Sentimental Mood,Duke Ellington & John Coltrane,1440810227,,,,,,In a Sentimental Mood - Duke Ellington & John Coltrane,1440810227,In a Sentimental Mood - Duke Ellington & John Coltrane
Pavane pour une infante defunte,Maurice Ravel,1675148375,,,,,,Pavane pour une infante défunte (Arr. Linos Piano Trio) - Linos Piano Trio,1675148375,Pavane pour une infante défunte (Arr. Linos Piano Trio) - Linos Piano Trio
Spiegel im Spiegel,Arvo Part,356926261,,,,,,Spiegel im spiegel - Angèle Dubeau & La Pietà,356926261,Spiegel im spiegel - Angèle Dubeau & La Pietà
"String Quartet No. 8 in C Minor, Op. 110: II. Allegro molto",Dmitri Shostakovich,1452147266,,,,,,"String Quartet No. 8 in C Minor, Op. 110: II. Allegro molto - Emerson String Quartet",1452147266,"String Quartet No. 8 in C Minor, Op. 110: II. Allegro molto - Emerson String Quartet"
Fantasia on a Theme by Thomas Tallis,Ralph Vaughan Williams,1440839319,,,,,,Fantasia on a Theme by Thomas Tallis - London Philharmonic Orchestra & Sir Roger Norrington,1440839319,Fantasia on a Theme by Thomas Tallis - London Philharmonic Orchestra & Sir Roger Norrington
Gnossienne No. 3,Erik Satie,1270113647,,,,,,Gnossienne No. 3 - Kai Schumacher,1270113647,Gnossienne No. 3 - Kai Schumacher
"Prelude in G Minor, Op. 23 No. 5",Sergei Rachmaninoff,1440566050,,,,,,"Prélude in G Minor, Op. 23 No. 5 - Sergei Rachmaninoff",306131247,"Prelude In G Minor, Op. 23, No. 5 - Van Cliburn"
The Lark Ascending,Ralph Vaughan Williams,445272551,,,,,,The Lark Ascending - Sir Andrew Davis & BBC Symphony Orchestra,445272551,The Lark Ascending - Sir Andrew Davis & BBC Symphony Orchestra
"Sicilienne, Op. 78",Gabriel Faure,1766801454,,,,,,"Sicilienne, Op. 78 - Yo-Yo Ma & Kathryn Stott",1766801454,"Sicilienne, Op. 78 - Yo-Yo Ma & Kathryn Stott"
"Cello Suite No. 2 in D Minor, BWV 1008: I. Prelude",Johann Sebastian Bach,353570089,,,,,,"Cello Suite No. 2 in D Minor, BWV 1008: I. Prelude - Jörg Baumann",353570089,"Cello Suite No. 2 in D Minor, BWV 1008: I. Prelude - Jörg Baumann"
"Symphony No. 7 in A Major, Op. 92: II. Allegretto",Ludwig van Beethoven,288462139,,,,,,"Symphony No. 7 in A Major, Op. 92: II. Allegretto - London Symphony Orchestra & Josef Krips",288462139,"Symphony No. 7 in A Major, Op. 92: II. Allegretto - London Symphony Orchestra & Josef Krips"
Walkin,Denzel Curry,1856377098,,,,,,Walkin - Denzel Curry,1856377098,Walkin - Denzel Curry
Raydar,JID,1790783325,,,,,,Raydar - JID,1790783325,Raydar - JID
None Shall Pass,Aesop Rock,1623690092,,,,,,None Shall Pass - Aesop Rock,1623690092,None Shall Pass - Aesop Rock
Riot!,Earl Sweatshirt,1442400732,,,,,,Riot! - Earl Sweatshirt,1442400732,Riot! - Earl Sweatshirt
All Caps,Madvillain,41655325,,,,,,All Caps - Madvillain,41655325,All Caps - Madvillain
Norf Norf,Vince Staples,1442881982,,,,,,Norf Norf - Vince Staples,1442881982,Norf Norf - Vince Staples
Point and Kill,Little Simz,1561184461,,,,,,Point and Kill (feat. Obongjayar) - Little Simz,1561184461,Point and Kill (feat. Obongjayar) - Little Simz
Run The Jewels,Run The Jewels,1863305830,,,,,,Run The Jewels - Run The Jewels,1863305830,Run The Jewels - Run The Jewels
DEVASTATED,Joey Bada$$,1504167055,,,,,,DEVASTATED - Joey Bada$$,1504167055,DEVASTATED - Joey Bada$$
Dance Now,JID,1790783327,,,,,,Dance Now - JID & Kenny Mason,1790783327,Dance Now - JID & Kenny Mason
Gang Signs,Freddie Gibbs,1549548181,,,,,,Gang Signs (feat. ScHoolboy Q) - Freddie Gibbs,1549548181,Gang Signs (feat. ScHoolboy Q) - Freddie Gibbs
Rebirth of Slick (Cool Like Dat),Digable Planets,725211798,,,,,,Rebirth Of Slick (Cool Like Dat) - Digable Planets,725211798,Rebirth Of Slick (Cool Like Dat) - Digable Planets
Emerald Rush,Jon Hopkins,1349736993,,,,,,Emerald Rush - Jon Hopkins,1349736993,Emerald Rush - Jon Hopkins
Glue,Bicep,1240586502,,,,,,Glue - Bicep,1240586502,Glue - Bicep
Kerala,Bonobo,1169246072,,,,,,Kerala - Bonobo,1169246072,Kerala - Bonobo
Atlas,Lane 8,1495406711,,,,,,Atlas - Lane 8,1495406711,Atlas - Lane 8
Kusanagi,ODESZA,897564302,,,,,,Kusanagi - ODESZA,897564302,Kusanagi - ODESZA
Epoch,Tycho,1154578329,,,,,,Epoch - Tycho,1154578329,Epoch - Tycho
So U Kno,Overmono,1658771254,,,,,,So U Kno - Overmono,1658771254,So U Kno - Overmono
Archangel,Burial,893175788,,,,,,Archangel - Burial,893175788,Archangel - Burial
A Walk,Tycho,679251628,,,,,,A Walk - Tycho,679251628,A Walk - Tycho
Cirrus,Bonobo,611171963,,,,,,Cirrus - Bonobo,611171963,Cirrus - Bonobo
Two Thousand and Seventeen,Four Tet,1288518126,,,,,,Two Thousand and Seventeen - Four Tet,1288518126,Two Thousand and Seventeen - Four Tet
Open Eye Signal,Jon Hopkins,1688995997,,,,,,Open Eye Signal (Remaster 2023) - Jon Hopkins,1688995997,Open Eye Signal (Remaster 2023) - Jon Hopkins
