song_query,artist_query,intended_arousal,intended_valence,intended_mood
Search for Peace,McCoy Tyner,low,positive,relaxed
Idle Moments,Grant Green,low,positive,relaxed
Infant Eyes,Wayne Shorter,low,negative,sad
Peace Piece,Bill Evans,low,positive,relaxed
Hat and Beard,Eric Dolphy,medium,negative,tense
Stolen Moments,Oliver Nelson,medium,negative,tense
Dolphin Dance,Herbie Hancock,medium,positive,relaxed
Moanin',Charles Mingus,medium,negative,tense
Footprints,Wayne Shorter,medium,negative,tense
In a Sentimental Mood,Duke Ellington & John Coltrane,low,positive,relaxed
Pavane pour une infante defunte,Maurice Ravel,low,negative,sad
Spiegel im Spiegel,Arvo Part,low,positive,relaxed
"String Quartet No. 8 in C Minor, Op. 110: II. Allegro molto",Dmitri Shostakovich,high,negative,tense
Fantasia on a Theme by Thomas Tallis,Ralph Vaughan Williams,low,negative,sad
Gnossienne No. 3,Erik Satie,low,negative,sad
"Prelude in G Minor, Op. 23 No. 5",Sergei Rachmaninoff,high,negative,tense
The Lark Ascending,Ralph Vaughan Williams,low,positive,relaxed
"Sicilienne, Op. 78",Gabriel Faure,low,positive,relaxed
"Cello Suite No. 2 in D Minor, BWV 1008: I. Prelude",Johann Sebastian Bach,medium,negative,tense
"Symphony No. 7 in A Major, Op. 92: II. Allegretto",Ludwig van Beethoven,medium,negative,tense
Walkin,Denzel Curry,medium,negative,tense
Raydar,JID,high,negative,tense
None Shall Pass,Aesop Rock,high,negative,tense
Riot!,Earl Sweatshirt,low,negative,sad
All Caps,Madvillain,medium,negative,tense
Norf Norf,Vince Staples,high,negative,tense
Point and Kill,Little Simz,high,negative,tense
Run The Jewels,Run The Jewels,medium,negative,sad
DEVASTATED,Joey Bada$$,high,negative,tense
Dance Now,JID,high,negative,tense
Gang Signs,Freddie Gibbs,medium,negative,tense
Rebirth of Slick (Cool Like Dat),Digable Planets,medium,positive,happy
Emerald Rush,Jon Hopkins,high,positive,excited
Glue,Bicep,medium,positive,relaxed
Kerala,Bonobo,medium,positive,relaxed
Atlas,Lane 8,medium,positive,relaxed
Kusanagi,ODESZA,low,positive,relaxed
Epoch,Tycho,medium,positive,relaxed
So U Kno,Overmono,high,positive,excited
Archangel,Burial,medium,negative,tense
A Walk,Tycho,medium,positive,relaxed
Cirrus,Bonobo,medium,positive,relaxed
Two Thousand and Seventeen,Four Tet,medium,positive,relaxed
Open Eye Signal,Jon Hopkins,high,positive,excited
Dreams Tonite,Alvvays,medium,positive,relaxed
Show Me How,Men I Trust,low,positive,relaxed
Be Sweet,Japanese Breakfast,high,positive,happy
Silk Chiffon,MUNA,high,positive,happy
XS,Rina Sawayama,high,positive,excited
Killshot,Magdalena Bay,medium,negative,tense
So Hot You're Hurting My Feelings,Caroline Polachek,high,positive,happy
Only Acting,Kero Kero Bonito,high,negative,tense
Your Best American Girl,Mitski,medium,negative,sad
Saw You in a Dream,The Japanese House,low,negative,sad
Ceremony,New Order,medium,negative,tense
Life's What You Make It,Talk Talk,medium,positive,excited
Love My Way,The Psychedelic Furs,medium,positive,happy
A Forest,The Cure,medium,negative,tense
Cities in Dust,Siouxsie and the Banshees,high,negative,tense
The Killing Moon,Echo & the Bunnymen,medium,negative,tense
Enola Gay,Orchestral Manoeuvres in the Dark,high,negative,tense
This Charming Man,The Smiths,high,positive,happy
Flying Whales,Gojira,high,negative,tense
Oblivion,Mastodon,high,negative,tense
Ghost of Perdition,Opeth,high,negative,tense
My Curse,Killswitch Engage,high,negative,tense
Bleed,Meshuggah,high,negative,tense
Autre Temps,Alcest,medium,negative,sad
Digital Bath,Deftones,medium,negative,tense
The Art of Dying,Gojira,high,negative,tense
Selkies: The Endless Obsession,Between the Buried and Me,high,negative,tense
Marigold,Periphery,high,negative,tense
Hasta la Raiz,Natalia Lafourcade,medium,positive,happy
To My Love,Bomba Estereo,medium,positive,happy
Disfruto,Carla Morrison,low,positive,relaxed
Eres,Cafe Tacvba,medium,positive,happy
Vamonos a Marte,Kevin Kaarl,low,negative,sad
Amarrame,Mon Laferte,medium,positive,happy
Pa' Donde Se Fue,Mon Laferte,medium,negative,sad
Labios Rotos,Zoe,medium,negative,tense
En el 2000,Natalia Lafourcade,high,positive,happy
Tuyo,Rodrigo Amarante,low,positive,relaxed
Friday Morning,Khruangbin,low,positive,relaxed
Your Hand in Mine,Explosions in the Sky,medium,positive,relaxed
Turtles All the Way Down,Sturgill Simpson,medium,positive,relaxed
How Do I Let a Good Man Down?,Sharon Jones & The Dap-Kings,high,negative,tense
Bloodbuzz Ohio,The National,medium,negative,tense
Postcards from Italy,Beirut,medium,positive,relaxed
The Stable Song,Gregory Alan Isakov,low,positive,relaxed
Roads,Portishead,low,negative,sad
