song_query,artist_query,intended_arousal,intended_valence,intended_mood,candidate_rank,match_score,track_name,artist,album,genre,preview_url,track_id,collection_id,release_date,track_time_millis,track_explicitness,itunes_url
Search for Peace,McCoy Tyner,low,positive,relaxed,1,102.0,Search for Peace,McCoy Tyner,The Real McCoy,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/35/af/1c/35af1c23-8777-abb2-9645-9af7529075af/mzaf_17697857131342273195.plus.aac.p.m4a,721274775,721273864,1967-04-21T12:00:00Z,395730,notExplicit,https://music.apple.com/us/album/search-for-peace/721273864?i=721274775&uo=4
Search for Peace,McCoy Tyner,low,positive,relaxed,2,102.0,Search for Peace,McCoy Tyner,Quartet,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/fd/1f/0e/fd1f0ed1-209e-cdc2-4700-882b076fe3f7/mzaf_10343843506966758278.plus.aac.p.m4a,263447102,263447018,2007-09-11T12:00:00Z,661440,notExplicit,https://music.apple.com/us/album/search-for-peace/263447018?i=263447102&uo=4
Search for Peace,McCoy Tyner,low,positive,relaxed,4,102.0,Search for Peace,McCoy Tyner,13th House,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ed/22/ab/ed22ab3c-38f9-bec4-4aaf-ddf6ded148e3/mzaf_937334362706454438.plus.aac.p.m4a,1444134127,1444134104,1981-01-01T12:00:00Z,451893,notExplicit,https://music.apple.com/us/album/search-for-peace/1444134104?i=1444134127&uo=4
Search for Peace,McCoy Tyner,low,positive,relaxed,3,77.0,Search for Peace (Live),McCoy Tyner,Passion Dance (Live),Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e5/b0/c0/e5b0c052-b678-de4e-f221-af278db09db6/mzaf_14030841547262050640.plus.aac.p.m4a,1433851178,1433851171,1978-07-28T12:00:00Z,394400,notExplicit,https://music.apple.com/us/album/search-for-peace-live/1433851171?i=1433851178&uo=4
Search for Peace,McCoy Tyner,low,positive,relaxed,5,72.0,Search for Peace,Conrad Herwig,The Latin Side of McCoy Tyner,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/c1/b5/8c/c1b58cae-f2c8-68a4-4809-ec23cc7e6394/mzaf_7119010665335390656.plus.aac.p.m4a,1739180352,1739179608,2024-05-24T12:00:00Z,367933,notExplicit,https://music.apple.com/us/album/search-for-peace/1739179608?i=1739180352&uo=4
Idle Moments,Grant Green,low,positive,relaxed,1,102.0,Idle Moments,Grant Green,Idle Moments,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/7a/92/b4/7a92b4bd-0da1-0128-6a91-04e993e8c300/mzaf_16974025478810872117.plus.aac.p.m4a,1443768988,1443768982,1965-01-01T12:00:00Z,894421,notExplicit,https://music.apple.com/us/album/idle-moments/1443768982?i=1443768988&uo=4
Idle Moments,Grant Green,low,positive,relaxed,2,102.0,Idle Moments,Grant Green,Idle Moments (The Rudy Van Gelder Edition),Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/0d/7f/a5/0d7fa531-da62-a252-33e2-4fc154640360/mzaf_4241185349807912010.plus.aac.p.m4a,724724884,724724533,1965-01-01T12:00:00Z,896080,notExplicit,https://music.apple.com/us/album/idle-moments/724724533?i=724724884&uo=4
Idle Moments,Grant Green,low,positive,relaxed,3,102.0,Idle Moments,Grant Green,"The Best of Grant Green, Vol. 1",Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/58/cc/11/58cc115a-9575-b0e9-11d7-d0f4cc550715/mzaf_1883956087618237935.plus.aac.p.m4a,724855184,724854808,1993-01-01T12:00:00Z,897627,notExplicit,https://music.apple.com/us/album/idle-moments/724854808?i=724855184&uo=4
Idle Moments,Grant Green,low,positive,relaxed,4,102.0,Idle Moments,Grant Green,Classic Blue Note: The Ballads,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5e/66/48/5e664864-6141-db49-c8b4-66c386da6eb3/mzaf_16816305139346059593.plus.aac.p.m4a,1442459267,1442458423,1965-01-01T12:00:00Z,894309,notExplicit,https://music.apple.com/us/album/idle-moments/1442458423?i=1442459267&uo=4
Idle Moments,Grant Green,low,positive,relaxed,5,77.0,Idle Moments (Remastered 1999/Rudy Van Gelder Edition),Grant Green,Classic Blue Note: The Hits,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/3d/fb/6c/3dfb6c68-dc14-45bb-486d-3f6acb88eebd/mzaf_5915955094778499038.plus.aac.p.m4a,1442306892,1442305229,1965-01-01T12:00:00Z,893923,notExplicit,https://music.apple.com/us/album/idle-moments-remastered-1999-rudy-van-gelder-edition/1442305229?i=1442306892&uo=4
Infant Eyes,Wayne Shorter,low,negative,sad,1,102.0,Infant Eyes,Wayne Shorter,Speak No Evil (Rudy Van Gelder Edition),Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/64/bb/fa/64bbfadc-90de-290a-2cd3-7f2a2d0c00b4/mzaf_10520090854835555917.plus.aac.p.m4a,723473860,723473694,1966-06-01T12:00:00Z,414240,notExplicit,https://music.apple.com/us/album/infant-eyes/723473694?i=723473860&uo=4
Infant Eyes,Wayne Shorter,low,negative,sad,2,102.0,Infant Eyes,Wayne Shorter,Speak No Evil,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/b4/ea/6e/b4ea6e65-152c-acce-b6e1-2ac5f5f75843/mzaf_15647583754364389829.plus.aac.p.m4a,1453750212,1453750007,1966-06-01T12:00:00Z,414616,notExplicit,https://music.apple.com/us/album/infant-eyes/1453750007?i=1453750212&uo=4
Infant Eyes,Wayne Shorter,low,negative,sad,3,102.0,Infant Eyes,Wayne Shorter,The Classic Blue Note Recordings (Remastered),Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/97/32/35/973235f9-2131-9ea3-f66a-13ef498221a6/mzaf_1312650759701380621.plus.aac.p.m4a,716233172,716232312,1966-06-01T12:00:00Z,414173,notExplicit,https://music.apple.com/us/album/infant-eyes/716232312?i=716233172&uo=4
Infant Eyes,Wayne Shorter,low,negative,sad,5,102.0,Infant Eyes,Wayne Shorter,The Ultimate,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/f3/57/ec/f357eced-652f-ccb6-717d-86165597827a/mzaf_3311336022668164209.plus.aac.p.m4a,1414679343,1414679050,1966-06-01T12:00:00Z,412387,notExplicit,https://music.apple.com/us/album/infant-eyes/1414679050?i=1414679343&uo=4
Infant Eyes,Wayne Shorter,low,negative,sad,4,77.0,Infant Eyes (Remastered1998/Rudy Van Gelder Edition),Wayne Shorter,Sleep Jazz,Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/97/66/bd/9766bd49-5428-7a3a-62ba-22db2430872c/mzaf_1161746970115267383.plus.aac.p.m4a,1614491654,1614490367,1966-06-01T12:00:00Z,414240,notExplicit,https://music.apple.com/us/album/infant-eyes-remastered1998-rudy-van-gelder-edition/1614490367?i=1614491654&uo=4
Peace Piece,Bill Evans,low,positive,relaxed,1,102.0,Peace Piece,Bill Evans,Everybody Digs Bill Evans (Keepnews Collection),Jazz,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/c7/c0/fd/c7c0fdba-8dfb-73aa-d8b7-9ff2bdea9254/mzaf_4834298594644162342.plus.aac.p.m4a,1440926603,1440926168,1959-03-15T12:00:00Z,404160,notExplicit,https://music.apple.com/us/album/peace-piece/1440926168?i=1440926603&uo=4
