user_id,session_id,clip_id,hr_mean,hr_max,hr_change_from_baseline,hr_slope,hr_recovery,eda_mean,eda_change_from_baseline,eda_peak_count,eda_max_amplitude,eda_slope,eda_recovery
demo_user_02,demo_session_02,clip_016,67.117,67.117,2.427,0.1091,-1.037,0.9208,0.096,2,0.0301,0.00062,-0.0378
demo_user_02,demo_session_02,clip_005,70.617,70.8,0.658,0.0755,-0.419,1.3752,0.0936,2,0.0786,0.00158,-0.0309
demo_user_02,demo_session_02,clip_006,74.114,77.595,6.732,0.23,-2.221,1.3591,0.2412,4,0.1628,0.00824,-0.1146
demo_user_02,demo_session_02,clip_010,66.33,67.457,2.884,0.1002,-1.36,1.0694,0.0306,0,0.0297,0.00315,-0.0094
demo_user_02,demo_session_02,clip_015,67.622,67.622,1.512,0.0544,-0.78,0.9342,0.0701,0,0.0774,0.00141,-0.034
demo_user_02,demo_session_02,clip_004,70.915,77.711,8.014,0.2422,-4.916,1.1575,0.3629,5,0.2928,0.00938,-0.1064
demo_user_02,demo_session_02,clip_013,72.495,77.531,8.098,0.2567,-3.424,1.071,0.2307,3,0.1631,0.00776,-0.0933
demo_user_02,demo_session_02,clip_011,70.776,76.758,9.282,0.3038,-5.879,1.4205,0.3055,3,0.2166,0.00714,-0.1448
demo_user_02,demo_session_02,clip_007,77.278,82.348,7.176,0.2352,-3.384,0.8133,0.1462,2,0.1163,-0.00015,-0.0637
demo_user_02,demo_session_02,clip_001,76.09,78.179,5.392,0.1572,-3.403,0.9736,0.1373,1,0.1101,0.00573,-0.0522
demo_user_02,demo_session_02,clip_002,71.296,74.47,9.878,0.3705,-5.753,1.1554,0.6572,8,0.4382,0.02137,-0.1727
demo_user_02,demo_session_02,clip_003,67.43,70.192,4.046,0.0836,-1.831,1.1354,0.0618,0,0.0718,-0.00047,-0.0249
demo_user_02,demo_session_02,clip_017,67.677,68.714,0.771,0.0083,-0.2,1.0627,0.1107,0,0.0951,0.00442,-0.0467
demo_user_02,demo_session_02,clip_009,72.111,80.332,6.747,0.2208,-3.322,1.2122,0.616,3,0.4085,0.01894,-0.2039
demo_user_02,demo_session_02,clip_008,70.302,75.195,3.573,0.0944,-1.099,0.9047,0.057,2,0.019,0.00423,-0.0147
demo_user_02,demo_session_02,clip_018,68.38,69.06,1.473,0.0504,-0.884,1.1833,0.09,0,0.0765,0.00084,-0.0194
demo_user_02,demo_session_02,clip_014,76.53,78.995,5.305,0.1491,-3.028,1.0114,0.1676,1,0.1764,0.00638,-0.0712
demo_user_02,demo_session_02,clip_012,68.713,71.563,1.591,0.0962,-0.632,0.678,0.0807,1,0.0704,0.00528,-0.0254
demo_user_03,demo_session_03,clip_007,69.266,74.682,5.377,0.1988,-3.196,1.5326,0.287,5,0.1537,0.00978,-0.1191
demo_user_03,demo_session_03,clip_004,79.376,89.97,12.253,0.416,-6.807,1.1684,0.5445,7,0.3281,0.01939,-0.2027
demo_user_03,demo_session_03,clip_012,67.522,70.293,0.0,0.0068,-0.0,1.2376,0.1156,1,0.0885,0.00341,-0.0295
demo_user_03,demo_session_03,clip_003,72.974,76.331,2.537,0.0984,-1.497,1.0636,0.1427,2,0.0604,0.00414,-0.0346
demo_user_03,demo_session_03,clip_002,74.576,82.348,14.813,0.5113,-9.623,1.0427,0.2612,5,0.12,0.00672,-0.1117
demo_user_03,demo_session_03,clip_013,72.793,76.498,7.02,0.197,-4.14,1.2533,0.187,3,0.1435,0.0042,-0.0898
demo_user_03,demo_session_03,clip_005,70.55,71.792,1.601,0.0964,-0.792,1.3731,0.0492,2,0.01,0.00282,-0.0204
demo_user_03,demo_session_03,clip_010,70.439,71.119,2.665,0.0802,-1.282,1.0683,0.0946,2,0.0534,0.00635,-0.0404
demo_user_03,demo_session_03,clip_001,74.615,81.84,7.729,0.2655,-3.196,1.6091,0.2363,1,0.2092,0.00311,-0.0959
demo_user_03,demo_session_03,clip_009,71.679,77.416,6.648,0.2361,-3.001,1.4571,0.8031,8,0.5338,0.02626,-0.3855
demo_user_03,demo_session_03,clip_014,70.676,74.669,6.361,0.1662,-1.628,1.3615,0.1438,1,0.1343,-0.00118,-0.0719
demo_user_03,demo_session_03,clip_008,73.702,73.702,3.909,0.1282,-1.304,1.0806,0.1366,2,0.0763,0.00559,-0.0351
demo_user_03,demo_session_03,clip_017,72.018,72.018,1.036,0.041,-0.454,1.4058,0.1064,0,0.1091,0.00246,-0.028
demo_user_03,demo_session_03,clip_016,70.844,71.198,1.372,0.0394,-0.762,1.3301,0.0407,1,0.01,0.00197,-0.0133
demo_user_03,demo_session_03,clip_018,72.759,75.11,2.99,0.0774,-1.224,1.5051,0.0724,2,0.0239,0.00341,-0.0304
demo_user_03,demo_session_03,clip_006,73.265,74.311,3.969,0.1657,-1.75,1.3731,0.2514,2,0.1644,0.00762,-0.1297
demo_user_03,demo_session_03,clip_011,69.532,74.59,5.0,0.1727,-3.206,1.7571,0.4281,8,0.1847,0.01582,-0.2046
demo_user_03,demo_session_03,clip_015,70.044,74.238,3.784,0.106,-2.065,1.2162,0.0572,1,0.0238,0.00405,-0.0124
demo_user_04,demo_session_04,clip_003,74.435,75.757,1.14,-0.0223,-0.444,1.0122,0.0548,0,0.0413,0.00948,-0.0167
demo_user_04,demo_session_04,clip_016,69.224,69.224,0.0,-0.0084,-0.0,1.2101,0.0127,0,0.01,0.00227,-0.0069
demo_user_04,demo_session_04,clip_012,65.799,69.016,0.221,0.0118,-0.086,1.0778,0.018,0,0.0214,-0.00037,-0.0096
demo_user_04,demo_session_04,clip_018,68.802,68.802,1.975,0.0867,-0.617,0.8714,0.1432,2,0.0875,0.01192,-0.0568
demo_user_04,demo_session_04,clip_014,73.232,78.903,6.275,0.203,-1.659,1.2208,0.4053,4,0.2324,0.00676,-0.0957
demo_user_04,demo_session_04,clip_010,64.624,65.383,0.905,0.0074,-0.335,1.3141,0.0232,0,0.0239,0.00011,-0.008
demo_user_04,demo_session_04,clip_006,75.633,77.846,5.473,0.219,-2.092,1.0478,0.2828,4,0.212,0.01173,-0.0614
demo_user_04,demo_session_04,clip_005,71.334,72.109,0.433,0.0395,-0.207,1.1858,0.063,0,0.0872,-0.00096,-0.0313
demo_user_04,demo_session_04,clip_013,75.95,78.485,5.698,0.2059,-2.794,1.0917,0.3303,3,0.2482,0.01476,-0.1139
demo_user_04,demo_session_04,clip_008,72.986,74.926,3.036,0.0739,-0.969,1.0517,0.1295,3,0.0689,0.0045,-0.0708
demo_user_04,demo_session_04,clip_017,71.243,72.632,1.928,0.0741,-1.127,1.1874,0.094,2,0.0547,0.00277,-0.0384
demo_user_04,demo_session_04,clip_007,76.573,80.794,7.618,0.2382,-4.616,1.3107,0.3016,5,0.1389,0.00885,-0.1324
demo_user_04,demo_session_04,clip_002,72.599,77.045,10.82,0.3963,-5.923,0.948,0.5948,8,0.2658,0.01882,-0.3228
