user_id,session_id,clip_id,hr_mean,hr_max,hr_change_from_baseline,hr_slope,hr_recovery,eda_mean,eda_change_from_baseline,eda_peak_count,eda_max_amplitude,eda_slope,eda_recovery
Official_run_1,self_20260531_155844,clip_126,,,,0.0,,0.69929,0.04348,495,0.08719,5.9e-05,-0.0113
Official_run_1,self_20260531_155844,clip_106,,,,0.0,,0.65472,-0.05,35,0.03348,-2.4e-05,-0.0669
Official_run_1,self_20260531_155844,clip_086,,,,0.0,,0.55912,-0.00728,186,0.0444,5.6e-05,-0.1249
Official_run_1,self_20260531_155844,clip_054,,,,0.0,,0.58284,0.03289,428,0.07785,5.1e-05,-0.0073
Official_run_1,self_20260531_155844,clip_069,,,,0.0,,0.49931,-0.07685,2,0.02254,-7.4e-05,-0.1297
Official_run_1,self_20260531_155844,clip_037,,,,0.0,,0.54139,0.07044,579,0.12215,6.3e-05,-0.0097
Official_run_1,self_20260531_155844,clip_012,,,,0.0,,0.4944,-0.08081,0,0.0,1.1e-05,-0.0838
Official_run_1,self_20260531_155844,clip_015,,,,0.0,,0.4967,0.00704,262,0.05504,7e-05,-0.012
Official_run_1,self_20260531_155844,clip_043,,,,0.0,,0.53008,-0.05872,113,0.0478,-6.9e-05,-0.1128
Official_run_1,self_20260531_155844,clip_064,,,,0.0,,0.32186,0.04557,366,0.13461,0.000144,-0.0378
Official_run_1,self_20260531_155844,clip_044,,,,0.0,,0.46597,0.10178,556,0.15561,5e-05,-0.021
Official_run_1,self_20260531_155844,clip_028,,,,0.0,,0.37936,0.04903,525,0.11048,0.0,-0.0323
Official_run_1,self_20260531_155844,clip_130,,,,0.0,,0.37263,-0.02535,0,0.01382,2.4e-05,-0.0242
Official_run_1,self_20260531_155844,clip_004,,,,0.0,,0.39617,0.03058,516,0.06471,2.3e-05,-0.0185
Official_run_1,self_20260531_155844,clip_087,,,,0.0,,0.42798,0.00237,21,0.03289,1e-05,-0.0193
Official_run_1,self_20260531_155844,clip_016,,,,0.0,,0.40435,0.01272,359,0.04277,2.4e-05,-0.0137
Official_run_1,self_20260531_155844,clip_067,,,,0.0,,0.35288,-0.05082,0,0.0064,4e-06,-0.0547
Official_run_1,self_20260531_155844,clip_041,,,,0.0,,0.38691,-0.00153,186,0.03545,2.8e-05,-0.0121
Official_run_1,self_20260531_155844,clip_026,,,,0.0,,0.37574,0.03098,458,0.07024,1.3e-05,-0.0999
Official_run_1,self_20260531_155844,clip_047,,,,0.0,,0.41648,0.05447,655,0.09008,3.6e-05,-0.0282
Official_run_1,self_20260531_155844,clip_148,,,,0.0,,0.39825,0.00516,155,0.04131,9e-06,-0.0137
Official_run_1,self_20260531_155844,clip_092,,,,0.0,,0.3554,-0.02401,104,0.03239,-8.8e-05,-0.1346
Official_run_1,self_20260531_155844,clip_056,,,,0.0,,0.33445,-0.01628,92,0.03847,3e-06,-0.0886
Official_run_1,self_20260531_155844,clip_009,,,,0.0,,0.33451,-0.04243,1,0.02917,6.7e-05,-0.0185
Official_run_1,self_20260531_155844,clip_103,,,,0.0,,0.40321,0.0228,521,0.06599,4.4e-05,-0.012
Official_run_1,self_20260531_155844,clip_045,,,,0.0,,0.38951,0.00661,269,0.045,4e-05,-0.0137
Official_run_1,self_20260531_155844,clip_021,,,,0.0,,0.29922,-0.06983,41,0.04595,-6.1e-05,-0.0854
Official_run_1,self_20260531_155844,clip_003,,,,0.0,,0.39959,0.05673,629,0.09234,1.9e-05,-0.0404
Official_run_1,self_20260531_155844,clip_107,,,,0.0,,0.35506,0.03446,437,0.0831,5e-05,-0.0129
Official_run_1,self_20260531_155844,clip_048,,,,0.0,,0.38609,-0.02563,27,0.02988,1.4e-05,-0.0298
Official_run_1,self_20260531_155844,clip_088,,,,0.0,,0.2785,-0.07584,56,0.05417,-4.2e-05,-0.0886
Official_run_1,self_20260531_155844,clip_011,,,,0.0,,0.31564,0.00449,269,0.07324,4.7e-05,-0.0129
Official_run_1,self_20260531_155844,clip_094,,,,0.0,,0.39033,0.08967,661,0.12324,2.2e-05,-0.0532
Official_run_1,self_20260531_155844,clip_108,,,,0.0,,0.4143,0.01299,244,0.0435,2.6e-05,-0.0104
Official_run_1,self_20260531_155844,clip_042,,,,0.0,,0.34547,-0.05455,0,0.02229,0.000124,-0.0057
Official_run_1,self_20260531_155844,clip_035,,,,0.0,,0.32479,0.02758,351,0.09999,0.000124,-0.0072
Official_run_1,self_20260531_155844,clip_074,,,,0.0,,0.41962,0.0447,726,0.07148,-4e-06,-0.0346
Official_run_1,self_20260531_155844,clip_147,,,,0.0,,0.40142,0.05006,628,0.08133,2.5e-05,-0.0064
Official_run_1,self_20260531_155844,clip_110,,,,0.0,,0.33538,-0.06334,0,0.02918,0.000148,-0.0113
Official_run_1,self_20260531_155844,clip_023,,,,0.0,,0.33301,0.03624,437,0.08113,8e-06,-0.0016
Official_run_1,self_20260531_155844,clip_072,,,,0.0,,0.36087,0.09105,582,0.13388,7.7e-05,-0.0089
Official_run_1,self_20260531_155844,clip_146,,,,0.0,,0.37657,0.0347,500,0.08203,9.4e-05,-0.0105
Official_run_1,self_20260531_155844,clip_132,,,,0.0,,0.37315,0.12259,606,0.16124,4.4e-05,-0.0234
Official_run_1,self_20260531_155844,clip_090,,,,0.0,,0.3624,0.08051,547,0.12991,7e-06,-0.0081
Official_run_1,self_20260531_155844,clip_001,,,,0.0,,0.41518,0.05101,574,0.09274,4.9e-05,-0.0072
Official_run_1,self_20260531_155844,clip_149,,,,0.0,,0.35085,-0.06876,0,0.00748,0.000138,-0.0137
Official_run_1,self_20260531_155844,clip_038,,,,0.0,,0.38179,-0.04589,0,0.00102,-4.5e-05,-0.0403
Official_run_1,self_20260531_155844,clip_121,,,,0.0,,0.41131,-0.02382,0,0.01937,-7e-05,-0.1314
Official_run_1,self_20260531_155844,clip_093,,,,0.0,,0.27514,0.02854,387,0.0983,3.4e-05,-0.0379
Official_run_1,self_20260531_155844,clip_097,,,,0.0,,0.31449,0.00341,221,0.07572,-7.4e-05,-0.133
Official_run_1,self_20260531_155844,clip_140,,,,0.0,,0.37368,0.09394,563,0.13207,-1.3e-05,-0.0669
Official_run_1,self_20260531_155844,clip_118,,,,0.0,,0.26496,-0.07149,0,0.0,1e-06,-0.0194
Official_run_1,self_20260531_155844,clip_039,,,,0.0,,0.39745,0.07923,754,0.10808,3.9e-05,-0.0056
Official_run_1,self_20260531_155844,clip_137,,,,0.0,,0.3599,0.04859,566,0.09159,3.3e-05,-0.004
Official_run_1,self_20260531_155844,clip_084,,,,0.0,,0.34608,0.04534,448,0.10537,6.1e-05,-0.0145
Official_run_1,self_20260531_155844,clip_125,,,,0.0,,0.36809,-0.00918,7,0.03043,-2e-06,-0.0161
Official_run_1,self_20260531_155844,clip_113,,,,0.0,,0.40358,-0.00221,117,0.03981,2.7e-05,-0.0088
Official_run_1,self_20260531_155844,clip_077,,,,0.0,,0.40021,0.0274,561,0.0656,-4.2e-05,-0.079
Official_run_1,self_20260531_155844,clip_134,,,,0.0,,0.43599,0.03596,503,0.06657,-2.5e-05,-0.0629
Official_run_1,self_20260531_155844,clip_024,,,,0.0,,0.39673,0.02506,408,0.07564,7.3e-05,-0.0081
Official_run_1,self_20260531_155844,clip_063,,,,0.0,,0.42322,0.03209,571,0.06016,2.9e-05,-0.0186
Official_run_1,self_20260531_220954,clip_198,,,,0.0,,0.37236,-0.01293,77,0.0362,2e-06,-0.0259
Official_run_1,self_20260531_220954,clip_205,,,,0.0,,0.37988,0.00566,253,0.06818,-3.8e-05,-0.0564
Official_run_1,self_20260531_220954,clip_172,,,,0.0,,0.4691,-0.00131,142,0.05179,-4e-05,-0.058
